customerID,SeniorCitizen,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7608-RGIRO,0,1.4184869154660302,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,-1.5111335203339706,-0.29539932076479103,No,True,False,True,False,True,False,False,True
3807-BPOMJ,0,1.1270173936197208,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,0.9303389485018718,1.4649283960144237,No,False,True,False,True,False,False,True,False
1960-UOTYM,0,1.0021018842570166,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,No,0.3906815655537931,0.89086589242962,No,True,True,True,False,True,False,True,False
5294-DMSFH,0,0.04441631247628481,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,0.6891415972807047,0.2554008468873214,No,False,True,True,False,False,True,False,False
7967-HYCDE,0,-0.8299922530626441,Yes,No,Fiber optic,No,No,No,No,No,No,No,0.09569199931207793,-0.6870996923170192,No,True,False,False,False,False,False,False,False
2135-DQWAQ,0,-0.9549077624253482,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,0.6023799601507884,-0.7476820147901099,No,False,False,False,False,False,False,False,True
5396-IZEPB,0,-0.7883537499417428,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.674245398138213,-0.8569306933378608,No,True,False,False,False,False,True,False,False
7971-HLVXI,0,1.834871946675044,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,0.5746162362692153,1.8544187317336733,No,True,True,True,False,True,True,False,False
7021-XSNYE,0,-0.8716307561835456,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,No,-0.6348409853218168,-0.80003935854459,No,True,True,True,False,True,True,False,False
1986-PHGZF,1,-0.41360722185363036,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Yes,-0.33117525536711,-0.49958840463234966,No,True,False,False,False,False,True,False,False
5118-MUEYH,0,0.835547871773411,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,1.2895321262197248,1.3771876950577209,No,False,True,False,False,False,True,False,False
3841-NFECX,1,1.7932334435541428,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,0.985866396265018,2.1442751839723564,No,False,True,False,False,True,True,False,False
5440-VHLUL,0,1.70995643731234,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,1.2930025917049217,2.426385118858332,No,True,False,False,True,False,False,False,False
3154-HMWUU,0,1.3352099092242276,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,-1.64648167425664,-0.393005439408913,No,True,True,False,False,True,False,False,False
2607-FBDFF,0,-1.1214617749089537,Yes,No,DSL,No,No,No,Yes,No,No,No,-0.6573990109755949,-0.9169434189467818,No,True,False,False,False,False,True,False,False
3717-LNXKW,0,0.41916284056439723,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,No,0.8244897512033742,0.6460531602094775,No,True,True,False,False,False,False,False,False
1336-EZFZY,0,-0.9965462655462497,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6620987689400248,-0.9013136809939649,No,False,False,False,False,False,False,False,True
7954-MLBUN,0,0.12769331871808756,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,No,1.0934508263061145,0.47783981428287775,No,True,False,False,False,True,False,False,False
6646-JPPHA,1,-0.5801612343372359,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,No,0.37853493635560453,-0.46363545056595745,No,False,False,False,False,False,False,True,False
0013-SMEOE,1,1.7932334435541428,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.449173538538771,2.6625171948685287,No,False,True,False,False,True,False,False,False
9777-IQHWP,0,1.5017639217078331,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,No,0.8834876644517173,1.7138194417820214,No,True,True,True,False,True,False,False,False
0570-BFQHT,0,-0.7883537499417428,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,No,0.4375328496039476,-0.6413041044377742,No,False,False,False,False,False,False,True,False
5285-MVEHD,0,1.168655896740622,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,1.306884453645708,1.8260755917725882,No,False,True,False,True,False,True,False,False
9093-FPDLG,0,-0.70507674369994,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Yes,0.9112513883332904,-0.4836396924355977,No,False,False,False,False,False,False,True,False
2848-YXSMW,0,1.834871946675044,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6846567945938031,-0.31806927595874557,No,True,True,True,False,True,True,False,False
0970-QXPXW,0,-1.1214617749089537,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6759806308808114,-0.9303175533174866,No,False,False,False,False,False,False,False,True
2522-AHJXR,0,1.3352099092242276,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,1.4404973748257792,2.055828182904084,No,True,True,False,False,False,False,False,False
9373-WSLOY,1,0.21097032495989032,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Yes,-0.6226943561236284,-0.14144868031700103,No,True,True,False,False,False,False,True,False
4277-BWBML,0,1.834871946675044,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6655692344252213,-0.33647864660871074,No,True,True,True,False,True,False,False,False
6156-UZDLF,0,-0.08049919688641934,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,0.6665835716269267,0.0969845670244408,No,False,False,False,True,False,True,False,False
2436-QBZFP,0,-0.24705320937002484,No,No phone service,DSL,No,Yes,No,No,Yes,No,No,-0.9975046285248664,-0.5519913161359633,No,False,True,True,False,False,False,True,False
3402-XRIUO,1,-0.24705320937002484,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,-0.15244628287948264,-0.30961645849446706,No,False,True,False,False,False,False,False,True
0285-INHLN,0,-0.03886069376551795,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,-0.45784724557678763,-0.25106190085782054,No,True,True,True,False,False,True,False,False
5423-BHIXO,0,0.16933182183898896,Yes,Yes,DSL,No,Yes,No,No,No,No,Yes,-0.4769348057453691,-0.14657505209452845,No,False,False,False,False,False,False,True,False
1338-CECEE,0,0.5440783499271014,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,No,0.01934175863775156,0.3548296754967864,No,True,True,True,True,False,False,False,False
4521-WFJAI,0,1.168655896740622,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,-1.4573413053134223,-0.28125053465881533,No,True,False,False,False,True,False,False,False
7246-ZGQDF,0,-1.1214617749089537,Yes,No,DSL,Yes,No,No,Yes,No,No,No,-0.46652340928977926,-0.914437192744435,No,False,False,True,False,False,False,True,False
2967-MXRAV,0,-1.1214617749089537,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.705479587504983,-0.930704879185122,No,True,True,True,True,False,False,False,True
2697-NQBPF,0,0.2526088280807917,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,1.2982082899327165,0.6741228936757608,No,True,False,False,False,False,False,True,False
6872-HXFNF,0,1.5017639217078331,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,-0.33291048810970825,0.7724580963060199,No,False,True,False,True,False,False,False,False
1386-ZIKUV,0,-0.8716307561835456,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,-1.7002738892771878,-0.8797829195283497,No,True,False,False,False,False,False,False,True
2330-PQGDQ,0,0.9604633811361152,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,No,0.5642048398136256,1.020027677348744,No,True,True,True,True,False,False,False,False
1930-BZLHI,0,-0.28869171249092623,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,-1.6516873724844348,-0.7466567404346044,No,True,False,False,True,False,False,False,True
2999-AANRQ,0,-0.28869171249092623,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,0.107838628510266,-0.24443179335888512,No,False,False,False,False,True,True,False,False
5198-EFNBM,1,1.2102943998615234,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,0.7880498636088095,1.4301602034255043,No,True,True,False,True,False,False,True,False
5780-INQIK,0,-0.8299922530626441,Yes,No,DSL,No,No,No,Yes,No,No,No,-0.6435171490348084,-0.7532412801844063,No,False,False,False,False,False,False,True,False
6791-YBNAK,0,-0.41360722185363036,No,No phone service,DSL,No,No,No,No,No,No,No,-1.471223167254209,-0.7260829017007944,No,True,True,True,False,False,True,False,False
6131-FOYAS,0,0.2942473312016931,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Yes,-0.2895296695447501,0.015327160577070845,No,True,False,False,False,False,False,True,False
5985-TBABQ,0,0.16933182183898896,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,No,0.2362458514625421,0.10101731282276234,No,False,False,False,True,False,False,False,True
4998-IKFSE,0,0.08605481559718618,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,1.128155481158081,0.4719160068955127,No,False,False,False,False,False,False,True,False
0980-FEXWF,0,-0.08049919688641934,Yes,No,DSL,No,No,Yes,No,No,No,No,-0.6105477269254401,-0.35336149766270103,No,True,True,True,True,False,False,False,True
6075-SLNIL,0,0.41916284056439723,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,0.9424855777000599,0.7427251399963609,No,True,False,False,False,False,True,False,False
5337-IIWKZ,0,0.2526088280807917,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Yes,-0.8014233286112559,-0.28191126702125224,No,True,True,True,False,False,False,True,False
3605-JISKB,1,1.1270173936197208,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,-0.27564780760396357,0.5718005129963135,No,True,True,False,True,False,True,False,False
2267-WTPYD,1,1.2102943998615234,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,No,0.904310457362897,1.5391354754784536,No,False,True,False,False,False,True,False,False
6797-UCJHZ,1,1.5850409279496358,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,1.2721797987937415,2.1681982522674845,No,False,True,False,True,False,True,False,False
2716-GFZOR,0,0.6273553561689041,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,0.6301436840323615,0.6791353460804543,No,True,True,False,False,False,True,False,False
5393-HJZSM,0,0.16933182183898896,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,0.29003806648309005,0.15624542477265782,No,False,True,True,False,False,False,False,False
8203-XJZRC,0,-1.1214617749089537,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6551578379696315,-0.9300441468226852,No,True,False,False,False,False,False,False,True
7013-PSXHK,0,0.5024398468062,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,0.44447378057434106,0.5228379665522851,No,False,False,False,True,False,False,False,True
5312-UXESG,0,0.5440783499271014,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,1.0448643095133612,0.8791549809022906,No,False,False,False,False,False,False,False,False
6741-EGCBI,1,0.08605481559718618,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Yes,0.7828441653810143,0.24359879986172492,No,True,False,False,False,False,True,False,False
6353-BRMMA,0,1.0853788904988193,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,1.2548274713677583,1.6333923645612578,No,False,True,True,False,False,False,False,False
2077-MPJQO,1,-0.8716307561835456,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,0.2588038771163205,-0.6963727292657022,No,True,True,False,False,False,False,True,False
8091-TTVAX,0,1.2519329029824249,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,1.124685015672884,1.6494777800054106,No,True,True,False,True,False,True,False,False
6900-RBKER,0,1.0021018842570166,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Yes,0.7464042777864496,1.1467060199400883,No,True,False,False,False,True,True,False,False
8319-QBEHW,0,-0.08049919688641934,No,No phone service,DSL,No,Yes,No,No,Yes,No,Yes,-0.9714761373858916,-0.4727717842672396,No,True,False,True,True,False,False,False,False
9860-LISIZ,0,0.2526088280807917,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6516873724844348,-0.6325095288549939,No,False,False,False,False,False,False,False,True
5206-XZZQI,0,1.0437403873779179,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Yes,0.43926808234654585,1.0420596840548288,No,True,False,False,False,False,False,False,True
9529-OFXHY,0,-0.5385227312163345,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Yes,0.6874063645381064,-0.3732290362849406,No,True,False,False,False,False,False,False,False
4324-AHJKS,0,-0.9549077624253482,Yes,No,DSL,Yes,No,Yes,No,No,No,No,-0.42140735798222295,-0.802386097624969,No,False,False,False,False,False,True,False,False
2133-TSRRM,0,0.2526088280807917,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,1.2982082899327165,0.741540378518888,No,False,False,True,False,False,False,False,False
2809-ZMYOQ,0,0.16933182183898896,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1.1593896705248505,0.5803672498334261,No,False,False,False,False,False,False,True,False
4032-RMHCI,0,0.5440783499271014,No,No phone service,DSL,Yes,No,Yes,No,No,No,No,-1.1293823169623392,-0.2956727272595924,No,False,True,True,True,False,True,False,False
8409-WQJUX,0,-0.12213770000732072,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,No,-0.4769348057453691,-0.2907741942277329,No,False,False,False,True,False,False,True,False
1536-YHDOE,0,-0.45524572497453175,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Yes,-0.2027680324148339,-0.4395528951488619,No,True,True,True,True,False,False,False,True
1140-UKVZG,0,-0.45524572497453175,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.497251658393184,-0.7227108882649097,No,False,False,False,False,False,False,False,True
2987-BJXIK,0,1.7515949404332414,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,No,0.5815571672396087,1.7907150184449325,No,False,False,False,False,True,False,False,True
3653-NCRDJ,0,0.6273553561689041,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,-1.691597725564196,-0.5855519633728428,No,True,True,True,True,False,False,False,True
9365-CSLBQ,0,1.7932334435541428,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.5128687530765688,-0.18530763885806892,No,True,False,True,False,True,False,False,True
3452-SRFEG,0,0.8771863748943124,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,0.23104015323474694,0.7560081388687987,No,True,False,False,False,False,False,False,False
5985-BEHZK,1,1.834871946675044,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,1.2860616607345283,2.5138751971948,No,False,True,False,True,False,True,False,False
4993-JCRGJ,0,-0.08049919688641934,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Yes,0.5676753052988219,0.10040214820945909,No,True,False,False,False,False,False,False,True
1133-KXCGE,0,-0.41360722185363036,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6603635361974265,-0.7537880931740092,No,False,False,False,True,False,False,False,True
2305-MRGLV,0,0.0027778093553834276,Yes,No,Fiber optic,No,No,No,Yes,No,No,No,0.2987142301960817,0.0018846745826656196,No,True,True,False,False,False,False,False,False
7293-LSCDV,0,1.3352099092242276,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,-1.689862492821598,-0.4365454237060459,No,False,True,True,False,True,True,False,False
2958-NHPPS,0,-0.20541470624912347,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6343350450584515,-0.7233260528782129,No,True,False,False,False,False,False,True,False
2038-YSEZE,0,0.04441631247628481,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,-0.017098128956813154,-0.11855088637737857,No,False,False,False,False,False,False,False,True
2418-TPEUN,0,1.168655896740622,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,-1.6707749326530166,-0.42895839347530523,No,False,True,True,False,True,True,False,False
1877-HKBQX,0,-0.70507674369994,Yes,No,DSL,Yes,No,No,Yes,No,No,Yes,-0.46305294380458256,-0.6577312780004289,No,False,False,False,True,False,False,False,True
1544-JJMYL,0,-0.03886069376551795,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,No,0.04884071526192288,-0.06104438697080433,No,True,False,False,True,False,True,False,False
8646-JCOMS,0,1.5850409279496358,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Yes,0.7845793981236125,1.8544642994828067,No,False,True,False,True,False,False,False,False
6048-QBXKL,1,-1.0798232717880525,Yes,Yes,DSL,No,Yes,No,No,No,No,Yes,-0.3953788668432481,-0.8853877526717797,No,False,False,False,False,False,True,False,False
8999-EXMNO,0,-0.37196871873272896,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6586283034548281,-0.7626054526313564,No,False,True,True,False,True,False,False,True
6242-SGYTS,0,1.4184869154660302,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,0.9372798794722652,1.6999440621708473,No,True,True,True,True,False,True,False,False
4626-OZDTJ,0,0.9604633811361152,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,0.3715940053852116,0.8610418006216938,No,False,True,False,True,False,True,False,False
4024-CSNBY,0,1.834871946675044,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,0.9129866210758886,2.1820052802549585,No,False,True,False,False,True,False,False,False
6252-DFGTK,0,0.37752433744349584,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No,0.005459896696964767,0.19046680437197414,No,False,True,False,True,False,True,False,False
4422-QVIJA,0,0.2942473312016931,Yes,Yes,DSL,No,No,No,No,No,No,No,-0.6174886578958335,-0.1849658807395671,No,False,False,True,False,False,False,False,True
7766-CLTIC,0,-0.7467152468208414,Yes,No,DSL,No,No,No,Yes,No,Yes,Yes,-0.24267838549459533,-0.6523998513518003,No,False,False,False,False,False,False,False,True
5260-UMPWX,0,-0.08049919688641934,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,-1.6551578379696315,-0.7141897191769307,No,False,True,True,False,False,True,False,False
4291-TPNFG,0,1.834871946675044,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,0.498265995594889,1.785930404785907,No,True,True,False,False,True,False,False,False
9150-HEPMB,0,1.168655896740622,Yes,No,DSL,Yes,No,Yes,No,No,No,No,-0.5289917880233188,0.43673770456439115,No,True,False,False,True,False,False,False,True
8570-KLJYJ,0,0.33588583432259445,Yes,Yes,DSL,Yes,No,No,No,No,No,No,-0.4682586420323775,-0.07644628617795335,No,False,False,False,True,False,False,False,True
9054-FOWNV,0,-0.24705320937002484,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,0.7221110193900729,-0.08025119323060699,No,True,True,True,False,False,False,True,False
0960-HUWBM,0,1.5434024248287344,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,1.2548274713677583,2.1137903598019934,No,True,True,True,False,True,False,False,False
1134-YWTYF,0,-0.03886069376551795,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,-0.4908166676861559,-0.3059482546892141,No,True,True,False,False,False,False,True,False
3002-WQZWT,0,0.04441631247628481,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,0.21715829129396064,-0.030992456417210254,No,False,False,False,False,False,False,True,False
2786-GCDPI,1,0.9188248780152137,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,1.2843264279919302,1.4404357308551259,No,False,False,False,False,False,False,True,False
3914-FDRHP,0,-0.7883537499417428,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,No,0.6353493822601567,-0.5881721089480234,No,True,False,False,False,False,False,True,False
0269-XFESX,0,-0.20541470624912347,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.5128687530765688,-0.6938892869379222,No,True,True,True,True,False,False,False,True
2043-WVTQJ,0,-1.1214617749089537,Yes,No,DSL,Yes,No,Yes,No,No,No,No,-0.42487782346741937,-0.9138903797548321,No,True,True,False,False,False,False,False,True
0384-RVBPI,0,-0.3303302156118276,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,-0.12294732625531084,-0.30196107664002614,No,True,False,False,False,False,True,False,False
5529-GIBVH,0,0.7939093686525096,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6586283034548281,-0.4625418245867515,No,False,False,False,False,True,False,False,True
7322-OCWHC,1,1.834871946675044,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,0.8713410352535287,2.1297390719987455,No,True,True,False,False,True,False,False,False
8735-IJJEG,0,-0.5801612343372359,Yes,No,DSL,No,No,Yes,No,No,No,No,-0.6157534251532351,-0.6344917259423045,No,True,True,False,False,False,True,False,False
8050-XGRVL,0,1.4184869154660302,Yes,No,DSL,Yes,No,Yes,No,No,No,No,-0.45784724557678763,0.6215832789247464,No,False,True,True,True,False,True,False,False
6907-CQGPN,0,0.04441631247628481,No,No phone service,DSL,No,Yes,No,Yes,No,No,No,-1.1675574372995023,-0.48142965660261927,No,True,False,False,False,False,False,True,False
